culture,dose_mg,metabolite,time_min,abundance
staph aureus,10,succinic acid,120,10746
p aeruginosa,10,succinic acid,0,237666
p aeruginosa,10,succinic acid,10,1119833
p aeruginosa,10,succinic acid,20,20354370
p aeruginosa,10,succinic acid,50,2560322
p aeruginosa,10,succinic acid,120,153076
e coli,20,succinic acid,0,219049
e coli,20,succinic acid,10,131966
e coli,20,succinic acid,20,32404
e coli,20,succinic acid,50,1738
e coli,20,succinic acid,120,6
staph aureus,20,succinic acid,0,11857
staph aureus,20,succinic acid,10,12801
staph aureus,20,succinic acid,20,11986
staph aureus,20,succinic acid,50,129
staph aureus,20,succinic acid,120,1
p aeruginosa,20,succinic acid,0,192943
p aeruginosa,20,succinic acid,10,24239
p aeruginosa,20,succinic acid,20,7159
p aeruginosa,20,succinic acid,50,1109
p aeruginosa,20,succinic acid,120,8
e coli,0,phosphatidylcholine,0,125196620
e coli,0,phosphatidylcholine,10,20303583
e coli,0,phosphatidylcholine,20,85259472
e coli,0,phosphatidylcholine,50,119703977
e coli,0,phosphatidylcholine,120,28364136
staph aureus,0,phosphatidylcholine,0,15160585
staph aureus,0,phosphatidylcholine,10,9476846
staph aureus,0,phosphatidylcholine,20,12661367
staph aureus,0,phosphatidylcholine,50,12007467
staph aureus,0,phosphatidylcholine,120,11492831
p aeruginosa,0,phosphatidylcholine,0,51206448
p aeruginosa,0,phosphatidylcholine,10,129056188
p aeruginosa,0,phosphatidylcholine,20,193334656
p aeruginosa,0,phosphatidylcholine,50,156148257
p aeruginosa,0,phosphatidylcholine,120,24133947
e coli,10,phosphatidylcholine,0,139836613
e coli,10,phosphatidylcholine,10,8221056
e coli,10,phosphatidylcholine,20,1088267
e coli,10,phosphatidylcholine,50,115355
e coli,10,phosphatidylcholine,120,219749
staph aureus,10,phosphatidylcholine,0,14102149
staph aureus,10,phosphatidylcholine,10,1162472
staph aureus,10,phosphatidylcholine,20,115926
staph aureus,10,phosphatidylcholine,50,13180
staph aureus,10,phosphatidylcholine,120,13936
p aeruginosa,10,phosphatidylcholine,0,56895876
p aeruginosa,10,phosphatidylcholine,10,22733918
p aeruginosa,10,phosphatidylcholine,20,1901798
p aeruginosa,10,phosphatidylcholine,50,83108
p aeruginosa,10,phosphatidylcholine,120,317809
e coli,20,phosphatidylcholine,0,191386707
e coli,20,phosphatidylcholine,10,12914547
e coli,20,phosphatidylcholine,20,17762
e coli,20,phosphatidylcholine,50,1214
e coli,20,phosphatidylcholine,120,12
staph aureus,20,phosphatidylcholine,0,14789219
staph aureus,20,phosphatidylcholine,10,1026298
staph aureus,20,phosphatidylcholine,20,12484
staph aureus,20,phosphatidylcholine,50,137
staph aureus,20,phosphatidylcholine,120,1
p aeruginosa,20,phosphatidylcholine,0,74535677
p aeruginosa,20,phosphatidylcholine,10,20310417
p aeruginosa,20,phosphatidylcholine,20,185691
p aeruginosa,20,phosphatidylcholine,50,3037
p aeruginosa,20,phosphatidylcholine,120,11
